task_id,dataset,model,auc_ovo,accuracy,g_mean,cross_entropy,fit_time_s,predict_time_s,total_time_s
363621,blood-transfusion-service-center,lightgbm,0.7749919152720509,0.7915869980879541,0.4515493758952303,0.4648072023312379,1.7994296990000294,0.0604941770000095,1.859923876000039
363621,blood-transfusion-service-center,xgboost,0.8642068881882126,0.8432122370936902,0.6286024805095096,0.4011884110222183,1.8466858780000168,0.0117129589998512,1.858398836999868
363621,blood-transfusion-service-center,catboost,0.8237327188940092,0.8298279158699808,0.6490881182376448,0.4779176727806975,1.9035641549999127,0.0177367310000136,1.9213008859999263
363621,blood-transfusion-service-center,group_model,0.7518089578785674,0.8145315487571702,0.5828552722700275,0.4596159974100471,3.56764006000003,0.1279699130000153,3.695609973000046
363629,diabetes,lightgbm,0.8808708938120703,0.8175046554934823,0.7934799238861622,0.417338905652709,0.1197449759999926,0.0090834400000403,0.128828416000033
363629,diabetes,xgboost,0.9699312452253628,0.9664804469273744,0.9617116139564084,0.2095394786460035,0.7641117279999889,0.0129416309998759,0.7770533589998649
363629,diabetes,catboost,0.976699770817418,0.9608938547486032,0.9561828874675148,0.1495802277154109,1.5902321470000516,0.0124835220001386,1.6027156690001902
363629,diabetes,group_model,0.9284339190221544,0.8715083798882681,0.8341452627257023,0.3361785408896862,1.9366375920001249,0.1325890590001108,2.0692266510002355
363614,anneal,lightgbm,0.9995562514618364,0.9856687898089171,0.9379409093565424,0.0655012433320014,0.5055405860000519,0.0681618149999394,0.5737024009999914
363614,anneal,xgboost,1.0,0.998407643312102,0.9995812393840896,0.0090759000431908,2.693464855000002,0.1172273989998302,2.810692253999832
363614,anneal,catboost,1.0,0.998407643312102,0.9927528592597284,0.0070220503012313,2.2977431919998708,0.0522530000000642,2.349996191999935
363614,anneal,group_model,1.0,1.0,1.0,0.0838832234763715,2.097741189000089,0.166325033000021,2.2640662220001104
363626,credit-g,lightgbm,0.7919970845481049,0.71,0.1825741858350553,0.5349028783729931,0.1709743389999403,0.0485447359999398,0.2195190749998801
363626,credit-g,xgboost,0.988989310009718,0.9457142857142856,0.924517577032992,0.1902232362728178,1.1480191329999343,0.0475578020000284,1.1955769349999628
363626,credit-g,catboost,0.973974732750243,0.9285714285714286,0.8870956969291443,0.2860501463422332,1.4700822019999578,0.0269157679999807,1.4969979699999385
363626,credit-g,group_model,0.963449951409135,0.9514285714285714,0.9360141286217808,0.1720335373928082,3.5585991969999213,0.1417508140000336,3.700350010999955
363685,maternal_health_risk,lightgbm,0.9321437602847394,0.8053596614950634,0.8046322201489026,0.5047047531127932,0.3481089489998794,0.0212822030000552,0.3693911519999346
363685,maternal_health_risk,xgboost,0.974892591833194,0.9012693935119888,0.9046879189118676,0.3441204587692734,1.5668997440000112,0.0152084210001248,1.582108165000136
363685,maternal_health_risk,catboost,0.9703795561724208,0.8899858956276445,0.8921197371317217,0.3739225068240059,2.0973598840000705,0.0106306739999126,2.107990557999983
363685,maternal_health_risk,group_model,0.9715790919462276,0.9012693935119888,0.9056400346429908,0.3055951641878559,3.0754637229999844,0.1241164449997995,3.199580167999784
363696,qsar-biodeg,lightgbm,0.9531961211161688,0.903663500678426,0.8778983548637009,0.2809939149338644,1.6070286100002704,0.0263031819999923,1.6333317920002628
363696,qsar-biodeg,xgboost,0.9813889438617324,0.971506105834464,0.9643866234398016,0.1991536198400419,2.1707019890000083,0.0272678460000861,2.1979698350000945
363696,qsar-biodeg,catboost,0.985190315983904,0.9755766621438264,0.9695033116417836,0.1014750348145625,2.3445100580001963,0.0247883030001503,2.369298361000346
363696,qsar-biodeg,group_model,0.9700343030542912,0.9755766621438264,0.96844807889186,0.1323598485699022,4.063920959999905,0.1434101469999404,4.207331106999845
363707,website_phishing,lightgbm,0.9837064263219432,0.945089757127772,0.9162558836106388,0.1885462706519425,0.4936894729999039,0.0604178519997731,0.5541073249996771
363707,website_phishing,xgboost,0.9899620517894636,0.9567053854276664,0.9366948769993,0.1515295682979178,2.6486434149996967,0.0312654049998855,2.679908819999582
363707,website_phishing,catboost,0.9892006738578362,0.9567053854276664,0.9565084273228172,0.1771830219954532,2.046838864000165,0.0214515419997951,2.06829040599996
363707,website_phishing,group_model,0.9910025300116606,0.9524815205913412,0.9454381010745376,0.1882236426266362,2.9600685570003407,0.1408828640001047,3.1009514210004454
363671,Fitness_Club,lightgbm,0.8364092518129016,0.7895238095238095,0.6228375312793387,0.4896065379498813,0.154824777000158,0.0176432380003461,0.1724680150005042
363671,Fitness_Club,xgboost,0.8838196377633434,0.7742857142857142,0.523529596891973,0.4867116010743769,1.0835856469998362,0.0192137290000573,1.1027993759998935
