task_id,dataset,model,auc_ovo,accuracy,g_mean,cross_entropy,fit_time_s,predict_time_s,total_time_s
363621,blood-transfusion-service-center,lightgbm,0.75379034004765,0.7688888888888888,0.3780872485437336,0.4840366633305229,0.6530709069993463,0.0035529470005712,0.6566238539999176
363621,blood-transfusion-service-center,xgboost,0.75151613601906,0.7688888888888888,0.4574131290532437,0.4877172205755425,0.5601221500000975,0.0062017219970584,0.566323871997156
363621,blood-transfusion-service-center,catboost,0.7734459605804634,0.7777777777777778,0.553211428831919,0.5143137441830669,0.9700966340024024,0.0051831349992426,0.975279769001645
363621,blood-transfusion-service-center,group_model,0.7853584578730779,0.7688888888888888,0.4392976851069795,0.4640947079125137,0.9437117059969752,0.0226199280004948,0.96633163399747
363629,diabetes,lightgbm,0.8510288065843622,0.7792207792207793,0.7221367470787521,0.4520500265434953,0.0337276620011834,0.003034873996512,0.0367625359976955
363629,diabetes,xgboost,0.8467489711934156,0.7792207792207793,0.7401479109212916,0.4732788881478689,0.3529261629992106,0.0062028120009927,0.3591289750002033
363629,diabetes,catboost,0.8326748971193416,0.7489177489177489,0.6981456921068893,0.5268240130506587,0.580587568001647,0.0052799389995925,0.5858675070012396
363629,diabetes,group_model,0.8304526748971194,0.7748917748917749,0.7044829992954381,0.4853719309906641,0.726915506998921,0.0268040410010144,0.7537195479999355
363614,anneal,lightgbm,0.9980906148867316,0.9814814814814816,0.8569469661839367,0.0783837512943025,0.1784464410011423,0.0269994260015664,0.2054458670027088
363614,anneal,xgboost,1.0,0.9962962962962963,0.8705505632961241,0.0197481096669406,1.287729757001216,0.0296458459997666,1.3173756030009829
363614,anneal,catboost,1.0,0.9925925925925926,0.9641925040026272,0.0151254320517315,0.8738097390014445,0.0214329239970538,0.8952426629984984
363614,anneal,group_model,0.9973557173678532,0.9888888888888888,0.9808325664483136,0.1116301195308064,0.7749523310012592,0.0370569480000995,0.8120092790013587
363626,credit-g,lightgbm,0.7626719576719576,0.7033333333333334,0.1487158435285296,0.5451356742694792,0.0524279749988636,0.0138613669987535,0.0662893419976171
363626,credit-g,xgboost,0.7587830687830689,0.7533333333333333,0.5947299418254505,1.0726811396311888,0.5420790549978847,0.0195024839995312,0.5615815389974159
363626,credit-g,catboost,0.7825396825396826,0.7533333333333333,0.5805033393393418,0.5024389347626507,0.5393402920017252,0.0126302680000662,0.5519705600017915
363626,credit-g,group_model,0.7735978835978836,0.7466666666666667,0.6685687152298759,0.5281703604028127,1.1402772670007837,0.0279562420000729,1.1682335090008564
363685,maternal_health_risk,lightgbm,0.8964130519409398,0.7508196721311475,0.7450495612551654,0.5876588613178327,0.0960152020015812,0.0041047880004043,0.1001199900019855
363685,maternal_health_risk,xgboost,0.9255556853166323,0.8163934426229508,0.8148253771661373,0.5102667321295857,0.7245098269995651,0.0068762279988732,0.7313860549984383
363685,maternal_health_risk,catboost,0.9255670669026118,0.8163934426229508,0.8151308460018551,0.5109954401534538,0.7637318480010435,0.0052798690012423,0.7690117170022859
363685,maternal_health_risk,group_model,0.8977041196722629,0.7901639344262295,0.7920069826463287,0.6082215939379066,1.1626044399999955,0.0227019910016679,1.1853064310016634
363696,qsar-biodeg,lightgbm,0.9513128615932354,0.889589905362776,0.8480454766084681,0.2824341319770602,0.0781125700013944,0.0099416489974828,0.0880542189988773
363696,qsar-biodeg,xgboost,0.9452158433466844,0.8769716088328076,0.8265724855548239,0.2999221221215525,0.6919628549985646,0.0125066619984863,0.704469516997051
363696,qsar-biodeg,catboost,0.9538050734312415,0.9053627760252366,0.877093147763188,0.2672646333626691,0.6144166609992681,0.0112583480004104,0.6256750089996785
363696,qsar-biodeg,group_model,0.9020916777926123,0.8738170347003155,0.840560560622949,0.3442382784452291,1.1527121069993882,0.0284438130001944,1.1811559199995827
363707,website_phishing,lightgbm,0.9618570728972844,0.8694581280788177,0.7732181450611467,0.2994041539010515,0.1610082979968865,0.0143584910001663,0.1753667889970529
363707,website_phishing,xgboost,0.968059662441908,0.8866995073891626,0.8622157602152775,0.3177327628019384,1.298925508002867,0.0140971879991411,1.3130226960020082
